Epoch: [0][0/97], lr: 0.00200	Time 2.147 (2.147)	Data 0.130 (0.130)	Loss 4.3541 (4.3541)	Prec@1 33.594 (33.594)	Prec@5 57.812 (57.812)
Epoch: [0][10/97], lr: 0.00200	Time 0.139 (0.314)	Data 0.000 (0.012)	Loss 2.8351 (3.0393)	Prec@1 5.469 (10.227)	Prec@5 65.625 (48.082)
Epoch: [0][20/97], lr: 0.00200	Time 0.139 (0.231)	Data 0.000 (0.010)	Loss 2.2826 (2.9233)	Prec@1 7.812 (11.830)	Prec@5 50.781 (52.976)
Epoch: [0][30/97], lr: 0.00200	Time 0.140 (0.202)	Data 0.000 (0.010)	Loss 2.2457 (2.8225)	Prec@1 7.031 (15.197)	Prec@5 75.000 (59.728)
Epoch: [0][40/97], lr: 0.00200	Time 0.138 (0.187)	Data 0.000 (0.010)	Loss 3.9879 (2.8555)	Prec@1 31.250 (15.816)	Prec@5 75.781 (63.396)
Epoch: [0][50/97], lr: 0.00200	Time 0.139 (0.177)	Data 0.000 (0.009)	Loss 2.2078 (2.7734)	Prec@1 41.406 (15.855)	Prec@5 92.188 (62.806)
Epoch: [0][60/97], lr: 0.00200	Time 0.138 (0.171)	Data 0.010 (0.009)	Loss 2.5227 (2.6958)	Prec@1 2.344 (17.572)	Prec@5 53.125 (64.844)
Epoch: [0][70/97], lr: 0.00200	Time 0.139 (0.167)	Data 0.000 (0.009)	Loss 2.4983 (2.6442)	Prec@1 29.688 (18.277)	Prec@5 81.250 (65.845)
Epoch: [0][80/97], lr: 0.00200	Time 0.139 (0.163)	Data 0.000 (0.009)	Loss 1.7909 (2.5816)	Prec@1 10.156 (18.827)	Prec@5 72.656 (66.464)
Epoch: [0][90/97], lr: 0.00200	Time 0.139 (0.161)	Data 0.000 (0.009)	Loss 1.9293 (2.5209)	Prec@1 23.438 (20.493)	Prec@5 85.938 (68.029)
Epoch: [1][0/97], lr: 0.00400	Time 0.148 (0.148)	Data 0.092 (0.092)	Loss 2.1416 (2.1416)	Prec@1 39.844 (39.844)	Prec@5 80.469 (80.469)
Epoch: [1][10/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.016)	Loss 1.9921 (2.1390)	Prec@1 17.969 (25.568)	Prec@5 66.406 (79.901)
Epoch: [1][20/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.013)	Loss 2.8485 (2.2354)	Prec@1 29.688 (23.921)	Prec@5 82.031 (77.865)
Epoch: [1][30/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 2.0222 (2.3192)	Prec@1 11.719 (22.959)	Prec@5 82.031 (79.335)
Epoch: [1][40/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 2.4725 (2.2955)	Prec@1 24.219 (22.809)	Prec@5 83.594 (79.726)
Epoch: [1][50/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 2.4753 (2.2702)	Prec@1 32.031 (23.698)	Prec@5 75.781 (78.860)
Epoch: [1][60/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.9877 (2.2237)	Prec@1 33.594 (25.756)	Prec@5 80.469 (79.623)
Epoch: [1][70/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.4643 (2.2096)	Prec@1 32.031 (27.047)	Prec@5 75.781 (79.721)
Epoch: [1][80/97], lr: 0.00400	Time 0.138 (0.140)	Data 0.000 (0.010)	Loss 2.1198 (2.2139)	Prec@1 37.500 (26.379)	Prec@5 69.531 (78.299)
Epoch: [1][90/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.8513 (2.1904)	Prec@1 48.438 (28.305)	Prec@5 83.594 (78.752)
Epoch: [2][0/97], lr: 0.00600	Time 0.148 (0.148)	Data 0.093 (0.093)	Loss 2.2558 (2.2558)	Prec@1 23.438 (23.438)	Prec@5 76.562 (76.562)
Epoch: [2][10/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.016)	Loss 1.9404 (2.0385)	Prec@1 40.625 (20.668)	Prec@5 79.688 (81.676)
Epoch: [2][20/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 2.3300 (2.0118)	Prec@1 21.875 (27.158)	Prec@5 83.594 (82.217)
Epoch: [2][30/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 1.9104 (1.9779)	Prec@1 10.156 (22.908)	Prec@5 79.688 (80.192)
Epoch: [2][40/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 2.2292 (1.9980)	Prec@1 47.656 (23.971)	Prec@5 78.906 (80.393)
Epoch: [2][50/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.8619 (2.0014)	Prec@1 43.750 (27.252)	Prec@5 87.500 (81.296)
Epoch: [2][60/97], lr: 0.00600	Time 0.135 (0.140)	Data 0.000 (0.010)	Loss 1.8793 (1.9987)	Prec@1 32.031 (28.932)	Prec@5 84.375 (81.903)
Epoch: [2][70/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 2.1862 (2.0039)	Prec@1 10.938 (27.080)	Prec@5 81.250 (81.855)
Epoch: [2][80/97], lr: 0.00600	Time 0.138 (0.140)	Data 0.000 (0.010)	Loss 2.0033 (2.0083)	Prec@1 28.906 (26.341)	Prec@5 79.688 (81.327)
Epoch: [2][90/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.9185 (2.0021)	Prec@1 37.500 (27.515)	Prec@5 85.938 (81.593)
Epoch: [3][0/97], lr: 0.00800	Time 0.163 (0.163)	Data 0.107 (0.107)	Loss 1.9246 (1.9246)	Prec@1 14.062 (14.062)	Prec@5 81.250 (81.250)
Epoch: [3][10/97], lr: 0.00800	Time 0.139 (0.142)	Data 0.000 (0.018)	Loss 1.8023 (1.9160)	Prec@1 44.531 (21.733)	Prec@5 88.281 (82.741)
Epoch: [3][20/97], lr: 0.00800	Time 0.139 (0.141)	Data 0.000 (0.013)	Loss 2.0475 (1.9435)	Prec@1 46.875 (32.106)	Prec@5 87.500 (85.156)
Epoch: [3][30/97], lr: 0.00800	Time 0.139 (0.141)	Data 0.000 (0.012)	Loss 2.0401 (1.9583)	Prec@1 23.438 (34.577)	Prec@5 83.594 (85.433)
Epoch: [3][40/97], lr: 0.00800	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 2.1010 (1.9471)	Prec@1 16.406 (31.669)	Prec@5 76.562 (84.585)
Epoch: [3][50/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 2.1574 (1.9294)	Prec@1 35.938 (31.771)	Prec@5 83.594 (84.206)
Epoch: [3][60/97], lr: 0.00800	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.8613 (1.9196)	Prec@1 16.406 (30.289)	Prec@5 86.719 (84.247)
Epoch: [3][70/97], lr: 0.00800	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.8897 (1.9125)	Prec@1 25.781 (28.774)	Prec@5 89.844 (84.210)
Epoch: [3][80/97], lr: 0.00800	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 2.2124 (1.9201)	Prec@1 30.469 (28.328)	Prec@5 86.719 (84.230)
Epoch: [3][90/97], lr: 0.00800	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 1.9922 (1.9373)	Prec@1 39.844 (29.464)	Prec@5 82.812 (84.246)
Epoch: [4][0/97], lr: 0.01000	Time 0.154 (0.154)	Data 0.099 (0.099)	Loss 1.9460 (1.9460)	Prec@1 21.875 (21.875)	Prec@5 85.156 (85.156)
Epoch: [4][10/97], lr: 0.01000	Time 0.138 (0.141)	Data 0.001 (0.017)	Loss 1.9002 (1.9491)	Prec@1 31.250 (22.798)	Prec@5 82.812 (82.955)
Epoch: [4][20/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.013)	Loss 1.9484 (1.9491)	Prec@1 14.062 (24.256)	Prec@5 83.594 (83.929)
Epoch: [4][30/97], lr: 0.01000	Time 0.138 (0.140)	Data 0.000 (0.012)	Loss 1.9014 (1.9210)	Prec@1 40.625 (26.966)	Prec@5 84.375 (82.611)
