Epoch: [0][0/97], lr: 0.00200	Time 2.248 (2.248)	Data 0.103 (0.103)	Loss 5.9891 (5.9891)	Prec@1 5.469 (5.469)	Prec@5 38.281 (38.281)
Epoch: [0][10/97], lr: 0.00200	Time 0.153 (0.335)	Data 0.000 (0.010)	Loss 2.2445 (2.8451)	Prec@1 39.062 (34.375)	Prec@5 94.531 (81.676)
Epoch: [0][20/97], lr: 0.00200	Time 0.155 (0.248)	Data 0.000 (0.010)	Loss 2.1913 (2.3984)	Prec@1 51.562 (38.839)	Prec@5 90.625 (86.570)
Epoch: [0][30/97], lr: 0.00200	Time 0.153 (0.218)	Data 0.000 (0.010)	Loss 1.4293 (2.1517)	Prec@1 48.438 (41.507)	Prec@5 94.531 (88.357)
Epoch: [0][40/97], lr: 0.00200	Time 0.153 (0.202)	Data 0.000 (0.010)	Loss 1.9378 (1.9832)	Prec@1 63.281 (44.569)	Prec@5 95.312 (89.596)
Epoch: [0][50/97], lr: 0.00200	Time 0.154 (0.192)	Data 0.000 (0.010)	Loss 1.1601 (1.8504)	Prec@1 59.375 (47.013)	Prec@5 96.094 (90.625)
Epoch: [0][60/97], lr: 0.00200	Time 0.154 (0.186)	Data 0.000 (0.010)	Loss 1.5577 (1.7752)	Prec@1 54.688 (48.373)	Prec@5 96.875 (91.150)
Epoch: [0][70/97], lr: 0.00200	Time 0.153 (0.182)	Data 0.000 (0.010)	Loss 1.1879 (1.6883)	Prec@1 67.969 (50.000)	Prec@5 91.406 (91.692)
Epoch: [0][80/97], lr: 0.00200	Time 0.154 (0.178)	Data 0.000 (0.010)	Loss 1.3146 (1.6407)	Prec@1 59.375 (51.186)	Prec@5 92.188 (92.159)
Epoch: [0][90/97], lr: 0.00200	Time 0.154 (0.176)	Data 0.000 (0.010)	Loss 1.2073 (1.5934)	Prec@1 58.594 (52.060)	Prec@5 96.094 (92.359)
Epoch: [1][0/97], lr: 0.00400	Time 0.143 (0.143)	Data 0.083 (0.083)	Loss 1.0759 (1.0759)	Prec@1 64.062 (64.062)	Prec@5 96.875 (96.875)
Epoch: [1][10/97], lr: 0.00400	Time 0.153 (0.153)	Data 0.000 (0.016)	Loss 0.9904 (1.1419)	Prec@1 67.969 (61.648)	Prec@5 98.438 (95.241)
Epoch: [1][20/97], lr: 0.00400	Time 0.154 (0.153)	Data 0.000 (0.013)	Loss 1.1847 (1.1689)	Prec@1 62.500 (60.268)	Prec@5 91.406 (94.829)
Epoch: [1][30/97], lr: 0.00400	Time 0.154 (0.153)	Data 0.000 (0.012)	Loss 1.3198 (1.1829)	Prec@1 57.031 (59.652)	Prec@5 93.750 (94.682)
Epoch: [1][40/97], lr: 0.00400	Time 0.153 (0.153)	Data 0.000 (0.011)	Loss 1.2685 (1.1791)	Prec@1 57.031 (59.813)	Prec@5 97.656 (94.474)
Epoch: [1][50/97], lr: 0.00400	Time 0.154 (0.153)	Data 0.000 (0.011)	Loss 1.3235 (1.1744)	Prec@1 57.031 (60.156)	Prec@5 93.750 (94.531)
Epoch: [1][60/97], lr: 0.00400	Time 0.153 (0.153)	Data 0.000 (0.011)	Loss 0.8645 (1.1601)	Prec@1 70.312 (60.835)	Prec@5 96.875 (94.762)
Epoch: [1][70/97], lr: 0.00400	Time 0.154 (0.153)	Data 0.000 (0.011)	Loss 1.4140 (1.1595)	Prec@1 51.562 (60.717)	Prec@5 94.531 (94.828)
Epoch: [1][80/97], lr: 0.00400	Time 0.154 (0.153)	Data 0.000 (0.011)	Loss 1.0544 (1.1430)	Prec@1 65.625 (61.140)	Prec@5 96.875 (95.023)
Epoch: [1][90/97], lr: 0.00400	Time 0.151 (0.153)	Data 0.000 (0.010)	Loss 1.1460 (1.1385)	Prec@1 60.156 (61.315)	Prec@5 95.312 (95.149)
Epoch: [2][0/97], lr: 0.00600	Time 0.156 (0.156)	Data 0.097 (0.097)	Loss 1.1035 (1.1035)	Prec@1 64.062 (64.062)	Prec@5 94.531 (94.531)
Epoch: [2][10/97], lr: 0.00600	Time 0.151 (0.151)	Data 0.000 (0.018)	Loss 1.0909 (1.0921)	Prec@1 60.938 (63.920)	Prec@5 96.094 (94.744)
Epoch: [2][20/97], lr: 0.00600	Time 0.151 (0.151)	Data 0.000 (0.014)	Loss 1.0292 (1.0769)	Prec@1 64.844 (63.542)	Prec@5 96.094 (95.573)
Epoch: [2][30/97], lr: 0.00600	Time 0.151 (0.151)	Data 0.000 (0.013)	Loss 1.1039 (1.0699)	Prec@1 60.938 (63.810)	Prec@5 96.875 (95.539)
Epoch: [2][40/97], lr: 0.00600	Time 0.151 (0.151)	Data 0.000 (0.012)	Loss 0.9096 (1.0476)	Prec@1 67.969 (64.386)	Prec@5 96.875 (95.694)
Epoch: [2][50/97], lr: 0.00600	Time 0.151 (0.151)	Data 0.000 (0.011)	Loss 1.1824 (1.0582)	Prec@1 57.812 (63.802)	Prec@5 93.750 (95.803)
Epoch: [2][60/97], lr: 0.00600	Time 0.151 (0.151)	Data 0.000 (0.011)	Loss 1.0396 (1.0591)	Prec@1 64.062 (63.678)	Prec@5 97.656 (95.863)
Epoch: [2][70/97], lr: 0.00600	Time 0.151 (0.151)	Data 0.000 (0.011)	Loss 1.0340 (1.0514)	Prec@1 66.406 (64.195)	Prec@5 94.531 (95.764)
Epoch: [2][80/97], lr: 0.00600	Time 0.152 (0.151)	Data 0.000 (0.011)	Loss 1.0179 (1.0437)	Prec@1 64.062 (64.313)	Prec@5 96.094 (95.833)
Epoch: [2][90/97], lr: 0.00600	Time 0.151 (0.151)	Data 0.000 (0.010)	Loss 1.0899 (1.0394)	Prec@1 66.406 (64.483)	Prec@5 93.750 (95.819)
Epoch: [3][0/97], lr: 0.00800	Time 0.142 (0.142)	Data 0.085 (0.085)	Loss 1.2332 (1.2332)	Prec@1 59.375 (59.375)	Prec@5 91.406 (91.406)
Epoch: [3][10/97], lr: 0.00800	Time 0.151 (0.150)	Data 0.000 (0.016)	Loss 1.2271 (1.0270)	Prec@1 57.812 (63.068)	Prec@5 92.188 (95.668)
Epoch: [3][20/97], lr: 0.00800	Time 0.151 (0.151)	Data 0.000 (0.013)	Loss 0.8641 (1.0477)	Prec@1 67.188 (63.207)	Prec@5 98.438 (95.647)
Epoch: [3][30/97], lr: 0.00800	Time 0.151 (0.151)	Data 0.000 (0.012)	Loss 1.0504 (1.0262)	Prec@1 59.375 (64.214)	Prec@5 96.094 (96.094)
Epoch: [3][40/97], lr: 0.00800	Time 0.152 (0.151)	Data 0.000 (0.011)	Loss 1.0395 (1.0324)	Prec@1 64.844 (64.043)	Prec@5 96.094 (96.056)
Epoch: [3][50/97], lr: 0.00800	Time 0.152 (0.151)	Data 0.000 (0.011)	Loss 1.0209 (1.0292)	Prec@1 62.500 (64.277)	Prec@5 95.312 (96.109)
Epoch: [3][60/97], lr: 0.00800	Time 0.151 (0.151)	Data 0.000 (0.011)	Loss 0.9636 (1.0202)	Prec@1 70.312 (64.844)	Prec@5 95.312 (96.017)
