Epoch: [0][0/97], lr: 0.00200	Time 2.288 (2.288)	Data 0.115 (0.115)	Loss 5.1947 (5.1947)	Prec@1 0.000 (0.000)	Prec@5 32.812 (32.812)
Epoch: [0][10/97], lr: 0.00200	Time 0.157 (0.342)	Data 0.000 (0.011)	Loss 3.0868 (3.6482)	Prec@1 7.031 (11.222)	Prec@5 55.469 (57.528)
Epoch: [0][20/97], lr: 0.00200	Time 0.158 (0.254)	Data 0.000 (0.010)	Loss 2.6826 (3.4384)	Prec@1 4.688 (12.426)	Prec@5 70.312 (64.472)
Epoch: [0][30/97], lr: 0.00200	Time 0.154 (0.223)	Data 0.000 (0.010)	Loss 2.8462 (3.1728)	Prec@1 1.562 (11.467)	Prec@5 55.469 (63.458)
Epoch: [0][40/97], lr: 0.00200	Time 0.154 (0.206)	Data 0.000 (0.010)	Loss 2.7040 (3.0208)	Prec@1 26.562 (12.957)	Prec@5 67.188 (63.948)
Epoch: [0][50/97], lr: 0.00200	Time 0.153 (0.197)	Data 0.000 (0.010)	Loss 2.0533 (2.8771)	Prec@1 25.781 (16.575)	Prec@5 78.906 (66.376)
Epoch: [0][60/97], lr: 0.00200	Time 0.155 (0.190)	Data 0.000 (0.010)	Loss 2.2894 (2.7588)	Prec@1 42.969 (19.314)	Prec@5 81.250 (68.852)
Epoch: [0][70/97], lr: 0.00200	Time 0.153 (0.185)	Data 0.000 (0.010)	Loss 2.1934 (2.6723)	Prec@1 23.438 (22.238)	Prec@5 77.344 (70.368)
Epoch: [0][80/97], lr: 0.00200	Time 0.153 (0.181)	Data 0.000 (0.010)	Loss 1.9602 (2.5918)	Prec@1 38.281 (23.679)	Prec@5 85.156 (72.058)
Epoch: [0][90/97], lr: 0.00200	Time 0.158 (0.178)	Data 0.000 (0.010)	Loss 1.9078 (2.5230)	Prec@1 37.500 (25.979)	Prec@5 87.500 (73.395)
Epoch: [1][0/97], lr: 0.00400	Time 0.149 (0.149)	Data 0.091 (0.091)	Loss 2.3360 (2.3360)	Prec@1 7.812 (7.812)	Prec@5 69.531 (69.531)
