Epoch: [0][0/97], lr: 0.00200	Time 2.118 (2.118)	Data 0.123 (0.123)	Loss 3.1178 (3.1178)	Prec@1 30.469 (30.469)	Prec@5 65.625 (65.625)
Epoch: [0][10/97], lr: 0.00200	Time 0.139 (0.311)	Data 0.000 (0.011)	Loss 2.0652 (2.1323)	Prec@1 42.969 (37.287)	Prec@5 91.406 (86.861)
Epoch: [0][20/97], lr: 0.00200	Time 0.141 (0.230)	Data 0.000 (0.010)	Loss 1.5008 (1.9401)	Prec@1 42.969 (41.257)	Prec@5 89.844 (88.467)
Epoch: [0][30/97], lr: 0.00200	Time 0.140 (0.201)	Data 0.000 (0.010)	Loss 1.2898 (1.7708)	Prec@1 56.250 (44.002)	Prec@5 94.531 (89.995)
Epoch: [0][40/97], lr: 0.00200	Time 0.140 (0.186)	Data 0.000 (0.009)	Loss 1.2995 (1.6703)	Prec@1 57.031 (46.303)	Prec@5 93.750 (90.682)
Epoch: [0][50/97], lr: 0.00200	Time 0.139 (0.177)	Data 0.000 (0.009)	Loss 1.1070 (1.5839)	Prec@1 57.812 (47.978)	Prec@5 95.312 (91.468)
Epoch: [0][60/97], lr: 0.00200	Time 0.140 (0.171)	Data 0.000 (0.009)	Loss 1.0704 (1.5181)	Prec@1 63.281 (49.795)	Prec@5 93.750 (91.842)
Epoch: [0][70/97], lr: 0.00200	Time 0.140 (0.166)	Data 0.000 (0.009)	Loss 1.2613 (1.4642)	Prec@1 57.031 (51.342)	Prec@5 92.969 (92.320)
Epoch: [0][80/97], lr: 0.00200	Time 0.139 (0.163)	Data 0.000 (0.009)	Loss 1.1998 (1.4213)	Prec@1 63.281 (52.710)	Prec@5 92.188 (92.737)
Epoch: [0][90/97], lr: 0.00200	Time 0.139 (0.160)	Data 0.000 (0.009)	Loss 0.9937 (1.3890)	Prec@1 66.406 (53.391)	Prec@5 95.312 (92.986)
Epoch: [1][0/97], lr: 0.00400	Time 0.151 (0.151)	Data 0.096 (0.096)	Loss 1.2093 (1.2093)	Prec@1 59.375 (59.375)	Prec@5 96.094 (96.094)
