Epoch: [0][0/97], lr: 0.00200	Time 2.397 (2.397)	Data 0.130 (0.130)	Loss 10.4118 (10.4118)	Prec@1 20.312 (20.312)	Prec@5 50.000 (50.000)
Epoch: [0][10/97], lr: 0.00200	Time 0.140 (0.337)	Data 0.000 (0.012)	Loss 6.9832 (8.2291)	Prec@1 50.781 (42.472)	Prec@5 89.844 (80.753)
Epoch: [0][20/97], lr: 0.00200	Time 0.141 (0.243)	Data 0.000 (0.010)	Loss 6.6839 (7.4512)	Prec@1 50.781 (46.243)	Prec@5 89.062 (84.524)
Epoch: [0][30/97], lr: 0.00200	Time 0.140 (0.210)	Data 0.000 (0.010)	Loss 5.4599 (7.0050)	Prec@1 57.812 (48.740)	Prec@5 89.844 (86.668)
Epoch: [0][40/97], lr: 0.00200	Time 0.140 (0.193)	Data 0.000 (0.010)	Loss 5.4622 (6.7120)	Prec@1 57.031 (50.419)	Prec@5 92.969 (88.014)
Epoch: [0][50/97], lr: 0.00200	Time 0.139 (0.182)	Data 0.000 (0.009)	Loss 4.6769 (6.4815)	Prec@1 64.062 (51.961)	Prec@5 94.531 (88.848)
Epoch: [0][60/97], lr: 0.00200	Time 0.140 (0.175)	Data 0.000 (0.009)	Loss 5.7886 (6.3404)	Prec@1 53.125 (52.741)	Prec@5 93.750 (89.511)
Epoch: [0][70/97], lr: 0.00200	Time 0.141 (0.170)	Data 0.000 (0.009)	Loss 4.8600 (6.1975)	Prec@1 61.719 (53.884)	Prec@5 96.875 (89.998)
Epoch: [0][80/97], lr: 0.00200	Time 0.140 (0.167)	Data 0.000 (0.009)	Loss 5.2503 (6.1105)	Prec@1 62.500 (54.446)	Prec@5 93.750 (90.374)
Epoch: [0][90/97], lr: 0.00200	Time 0.139 (0.164)	Data 0.000 (0.009)	Loss 4.9753 (5.9915)	Prec@1 62.500 (55.306)	Prec@5 92.969 (90.677)
Epoch: [1][0/97], lr: 0.00400	Time 0.151 (0.151)	Data 0.096 (0.096)	Loss 5.0625 (5.0625)	Prec@1 66.406 (66.406)	Prec@5 96.094 (96.094)
Epoch: [1][10/97], lr: 0.00400	Time 0.139 (0.141)	Data 0.000 (0.017)	Loss 5.1089 (5.0508)	Prec@1 60.938 (62.855)	Prec@5 89.844 (91.477)
Epoch: [1][20/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 4.8179 (5.1280)	Prec@1 65.625 (62.426)	Prec@5 96.094 (91.481)
Epoch: [1][30/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 5.0350 (5.2612)	Prec@1 70.312 (61.593)	Prec@5 93.750 (91.305)
Epoch: [1][40/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 4.2166 (5.2104)	Prec@1 68.750 (61.662)	Prec@5 95.312 (92.188)
Epoch: [1][50/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.5300 (5.1698)	Prec@1 67.188 (61.903)	Prec@5 95.312 (92.570)
Epoch: [1][60/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.5386 (5.1469)	Prec@1 72.656 (62.398)	Prec@5 94.531 (92.853)
Epoch: [1][70/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 5.1328 (5.1359)	Prec@1 57.031 (62.577)	Prec@5 92.188 (92.969)
Epoch: [1][80/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.9677 (5.0787)	Prec@1 64.844 (63.108)	Prec@5 96.094 (93.258)
Epoch: [1][90/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 5.3545 (5.0828)	Prec@1 63.281 (63.273)	Prec@5 92.188 (93.312)
Epoch: [2][0/97], lr: 0.00600	Time 0.152 (0.152)	Data 0.096 (0.096)	Loss 4.3514 (4.3514)	Prec@1 70.312 (70.312)	Prec@5 89.844 (89.844)
Epoch: [2][10/97], lr: 0.00600	Time 0.140 (0.141)	Data 0.000 (0.017)	Loss 4.6921 (4.6214)	Prec@1 65.625 (67.756)	Prec@5 90.625 (94.744)
Epoch: [2][20/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 5.8310 (4.6073)	Prec@1 58.594 (67.411)	Prec@5 91.406 (94.531)
Epoch: [2][30/97], lr: 0.00600	Time 0.142 (0.140)	Data 0.000 (0.012)	Loss 5.6173 (4.7141)	Prec@1 63.281 (66.784)	Prec@5 92.188 (94.229)
Epoch: [2][40/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 4.5201 (4.7089)	Prec@1 68.750 (66.654)	Prec@5 89.844 (94.284)
Epoch: [2][50/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.9120 (4.6923)	Prec@1 70.312 (66.743)	Prec@5 96.094 (94.301)
Epoch: [2][60/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.2724 (4.6660)	Prec@1 71.094 (66.906)	Prec@5 94.531 (94.390)
Epoch: [2][70/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.8709 (4.6709)	Prec@1 65.625 (66.912)	Prec@5 96.875 (94.355)
Epoch: [2][80/97], lr: 0.00600	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 5.3456 (4.6804)	Prec@1 66.406 (66.946)	Prec@5 93.750 (94.416)
Epoch: [2][90/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.3189 (4.6564)	Prec@1 69.531 (67.136)	Prec@5 90.625 (94.274)
Epoch: [3][0/97], lr: 0.00800	Time 0.153 (0.153)	Data 0.098 (0.098)	Loss 5.0643 (5.0643)	Prec@1 63.281 (63.281)	Prec@5 93.750 (93.750)
Epoch: [3][10/97], lr: 0.00800	Time 0.139 (0.141)	Data 0.000 (0.017)	Loss 4.5721 (4.3405)	Prec@1 67.969 (68.040)	Prec@5 96.875 (95.668)
Epoch: [3][20/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.013)	Loss 4.9661 (4.4079)	Prec@1 68.750 (68.713)	Prec@5 95.312 (95.759)
Epoch: [3][30/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.012)	Loss 3.9471 (4.3900)	Prec@1 72.656 (68.926)	Prec@5 96.094 (95.741)
