Epoch: [0][0/97], lr: 0.00200	Time 2.355 (2.355)	Data 0.111 (0.111)	Loss 15.4962 (15.4962)	Prec@1 2.344 (2.344)	Prec@5 33.594 (33.594)
Epoch: [0][10/97], lr: 0.00200	Time 0.141 (0.334)	Data 0.000 (0.010)	Loss 7.8566 (9.0852)	Prec@1 47.656 (39.560)	Prec@5 89.844 (82.457)
Epoch: [0][20/97], lr: 0.00200	Time 0.140 (0.241)	Data 0.000 (0.009)	Loss 7.4275 (8.1123)	Prec@1 50.000 (45.312)	Prec@5 88.281 (87.054)
Epoch: [0][30/97], lr: 0.00200	Time 0.139 (0.208)	Data 0.000 (0.009)	Loss 5.8088 (7.5856)	Prec@1 57.031 (48.160)	Prec@5 96.875 (88.659)
Epoch: [0][40/97], lr: 0.00200	Time 0.140 (0.192)	Data 0.000 (0.009)	Loss 7.0157 (7.3088)	Prec@1 46.875 (49.486)	Prec@5 90.625 (89.558)
Epoch: [0][50/97], lr: 0.00200	Time 0.139 (0.182)	Data 0.000 (0.009)	Loss 6.1090 (7.1577)	Prec@1 60.156 (50.597)	Prec@5 92.969 (90.058)
Epoch: [0][60/97], lr: 0.00200	Time 0.142 (0.175)	Data 0.000 (0.009)	Loss 5.3147 (6.9477)	Prec@1 64.062 (51.857)	Prec@5 96.094 (90.702)
Epoch: [0][70/97], lr: 0.00200	Time 0.140 (0.170)	Data 0.000 (0.009)	Loss 6.6489 (6.8054)	Prec@1 52.344 (52.894)	Prec@5 90.625 (90.999)
Epoch: [0][80/97], lr: 0.00200	Time 0.140 (0.166)	Data 0.000 (0.009)	Loss 5.9225 (6.6404)	Prec@1 57.031 (53.887)	Prec@5 96.875 (91.445)
Epoch: [0][90/97], lr: 0.00200	Time 0.140 (0.163)	Data 0.000 (0.009)	Loss 5.3990 (6.5304)	Prec@1 60.156 (54.490)	Prec@5 93.750 (91.518)
Epoch: [1][0/97], lr: 0.00400	Time 0.152 (0.152)	Data 0.097 (0.097)	Loss 4.8231 (4.8231)	Prec@1 67.969 (67.969)	Prec@5 96.094 (96.094)
Epoch: [1][10/97], lr: 0.00400	Time 0.139 (0.141)	Data 0.000 (0.017)	Loss 4.7215 (5.0785)	Prec@1 67.188 (63.494)	Prec@5 99.219 (95.810)
Epoch: [1][20/97], lr: 0.00400	Time 0.139 (0.141)	Data 0.000 (0.013)	Loss 5.4236 (5.3381)	Prec@1 60.156 (61.868)	Prec@5 91.406 (94.606)
Epoch: [1][30/97], lr: 0.00400	Time 0.141 (0.140)	Data 0.000 (0.012)	Loss 5.2813 (5.3946)	Prec@1 62.500 (61.391)	Prec@5 92.188 (93.574)
Epoch: [1][40/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 5.2791 (5.3668)	Prec@1 58.594 (61.338)	Prec@5 91.406 (93.388)
Epoch: [1][50/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 5.1702 (5.3294)	Prec@1 65.625 (61.520)	Prec@5 92.188 (93.321)
Epoch: [1][60/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 5.0907 (5.3469)	Prec@1 64.062 (61.424)	Prec@5 95.312 (93.302)
Epoch: [1][70/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 5.5794 (5.3308)	Prec@1 58.594 (61.455)	Prec@5 92.969 (93.519)
Epoch: [1][80/97], lr: 0.00400	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 5.7379 (5.3367)	Prec@1 58.594 (61.227)	Prec@5 92.969 (93.470)
Epoch: [1][90/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 5.7717 (5.2941)	Prec@1 57.031 (61.676)	Prec@5 91.406 (93.527)
Epoch: [2][0/97], lr: 0.00600	Time 0.150 (0.150)	Data 0.095 (0.095)	Loss 4.5841 (4.5841)	Prec@1 69.531 (69.531)	Prec@5 95.312 (95.312)
Epoch: [2][10/97], lr: 0.00600	Time 0.139 (0.141)	Data 0.000 (0.017)	Loss 5.1612 (4.6959)	Prec@1 60.156 (65.412)	Prec@5 96.094 (95.952)
Epoch: [2][20/97], lr: 0.00600	Time 0.140 (0.141)	Data 0.000 (0.013)	Loss 4.5326 (4.7646)	Prec@1 66.406 (65.141)	Prec@5 92.969 (95.238)
Epoch: [2][30/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 4.5236 (4.7834)	Prec@1 68.750 (65.121)	Prec@5 95.312 (95.640)
Epoch: [2][40/97], lr: 0.00600	Time 0.141 (0.140)	Data 0.000 (0.011)	Loss 4.3487 (4.7986)	Prec@1 68.750 (64.920)	Prec@5 95.312 (95.465)
Epoch: [2][50/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.1385 (4.8249)	Prec@1 72.656 (64.660)	Prec@5 96.875 (95.404)
Epoch: [2][60/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.2302 (4.8161)	Prec@1 69.531 (64.690)	Prec@5 99.219 (95.402)
Epoch: [2][70/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 5.4196 (4.7945)	Prec@1 56.250 (64.888)	Prec@5 95.312 (95.401)
Epoch: [2][80/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.6720 (4.7767)	Prec@1 63.281 (65.037)	Prec@5 97.656 (95.390)
Epoch: [2][90/97], lr: 0.00600	Time 0.142 (0.140)	Data 0.000 (0.010)	Loss 5.0242 (4.7450)	Prec@1 62.500 (65.393)	Prec@5 94.531 (95.184)
Epoch: [3][0/97], lr: 0.00800	Time 0.156 (0.156)	Data 0.102 (0.102)	Loss 4.5671 (4.5671)	Prec@1 67.188 (67.188)	Prec@5 90.625 (90.625)
Epoch: [3][10/97], lr: 0.00800	Time 0.140 (0.142)	Data 0.000 (0.017)	Loss 4.4998 (4.6305)	Prec@1 68.750 (67.614)	Prec@5 93.750 (93.750)
Epoch: [3][20/97], lr: 0.00800	Time 0.139 (0.141)	Data 0.000 (0.013)	Loss 4.2609 (4.6008)	Prec@1 67.188 (67.448)	Prec@5 99.219 (93.713)
Epoch: [3][30/97], lr: 0.00800	Time 0.139 (0.141)	Data 0.000 (0.012)	Loss 4.3668 (4.6055)	Prec@1 69.531 (67.540)	Prec@5 96.875 (94.052)
Epoch: [3][40/97], lr: 0.00800	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 4.9976 (4.6381)	Prec@1 63.281 (67.378)	Prec@5 94.531 (94.322)
Epoch: [3][50/97], lr: 0.00800	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 6.4008 (4.6292)	Prec@1 58.594 (67.325)	Prec@5 93.750 (94.455)
Epoch: [3][60/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.2293 (4.5866)	Prec@1 68.750 (67.892)	Prec@5 93.750 (94.378)
Epoch: [3][70/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.2589 (4.5748)	Prec@1 68.750 (68.090)	Prec@5 96.094 (94.564)
Epoch: [3][80/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.0980 (4.5340)	Prec@1 73.438 (68.412)	Prec@5 97.656 (94.551)
Epoch: [3][90/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.3550 (4.5183)	Prec@1 69.531 (68.492)	Prec@5 94.531 (94.720)
Epoch: [4][0/97], lr: 0.01000	Time 0.152 (0.152)	Data 0.097 (0.097)	Loss 4.6372 (4.6372)	Prec@1 65.625 (65.625)	Prec@5 96.875 (96.875)
Epoch: [4][10/97], lr: 0.01000	Time 0.140 (0.141)	Data 0.000 (0.017)	Loss 4.1005 (4.1808)	Prec@1 69.531 (71.236)	Prec@5 96.875 (95.881)
Epoch: [4][20/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 4.2462 (4.1896)	Prec@1 68.750 (71.243)	Prec@5 97.656 (96.354)
Epoch: [4][30/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.012)	Loss 4.4537 (4.1617)	Prec@1 69.531 (71.119)	Prec@5 93.750 (96.270)
Epoch: [4][40/97], lr: 0.01000	Time 0.142 (0.140)	Data 0.000 (0.011)	Loss 4.4866 (4.1398)	Prec@1 66.406 (71.094)	Prec@5 94.531 (96.227)
Epoch: [4][50/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 5.2776 (4.1543)	Prec@1 63.281 (70.757)	Prec@5 94.531 (96.063)
Epoch: [4][60/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.3907 (4.1625)	Prec@1 77.344 (70.620)	Prec@5 95.312 (96.004)
Epoch: [4][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.5832 (4.1713)	Prec@1 67.188 (70.588)	Prec@5 93.750 (96.149)
Epoch: [4][80/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.8034 (4.1692)	Prec@1 67.188 (70.689)	Prec@5 95.312 (96.181)
Epoch: [4][90/97], lr: 0.01000	Time 0.142 (0.140)	Data 0.000 (0.010)	Loss 3.7042 (4.1753)	Prec@1 71.094 (70.622)	Prec@5 96.875 (96.059)
Epoch: [5][0/97], lr: 0.01000	Time 0.159 (0.159)	Data 0.102 (0.102)	Loss 4.3597 (4.3597)	Prec@1 70.312 (70.312)	Prec@5 96.875 (96.875)
Epoch: [5][10/97], lr: 0.01000	Time 0.139 (0.142)	Data 0.000 (0.017)	Loss 4.6934 (4.1194)	Prec@1 66.406 (72.443)	Prec@5 95.312 (96.378)
Epoch: [5][20/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.013)	Loss 3.9075 (4.1760)	Prec@1 71.875 (71.466)	Prec@5 96.094 (96.429)
Epoch: [5][30/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.012)	Loss 4.0160 (4.0470)	Prec@1 71.875 (72.429)	Prec@5 95.312 (96.573)
Epoch: [5][40/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.011)	Loss 3.5399 (3.9918)	Prec@1 74.219 (72.599)	Prec@5 97.656 (96.646)
Epoch: [5][50/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 3.8583 (4.0046)	Prec@1 67.188 (72.273)	Prec@5 98.438 (96.752)
Epoch: [5][60/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.0390 (3.9896)	Prec@1 72.656 (72.310)	Prec@5 98.438 (96.644)
Epoch: [5][70/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.9162 (3.9810)	Prec@1 78.125 (72.469)	Prec@5 96.875 (96.699)
Epoch: [5][80/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.2082 (3.9666)	Prec@1 71.875 (72.569)	Prec@5 95.312 (96.817)
Epoch: [5][90/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.4136 (3.9630)	Prec@1 71.094 (72.630)	Prec@5 94.531 (96.789)
Epoch: [6][0/97], lr: 0.01000	Time 0.158 (0.158)	Data 0.103 (0.103)	Loss 3.2986 (3.2986)	Prec@1 82.812 (82.812)	Prec@5 98.438 (98.438)
Epoch: [6][10/97], lr: 0.01000	Time 0.140 (0.142)	Data 0.000 (0.017)	Loss 4.3284 (3.9245)	Prec@1 68.750 (73.935)	Prec@5 92.188 (95.952)
Epoch: [6][20/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.013)	Loss 4.2921 (3.8917)	Prec@1 68.750 (73.586)	Prec@5 97.656 (96.615)
Epoch: [6][30/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.012)	Loss 4.0531 (3.7337)	Prec@1 72.656 (74.647)	Prec@5 97.656 (96.875)
Epoch: [6][40/97], lr: 0.01000	Time 0.141 (0.140)	Data 0.000 (0.011)	Loss 3.1895 (3.6920)	Prec@1 78.125 (74.943)	Prec@5 96.094 (96.856)
Epoch: [6][50/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 4.1374 (3.6886)	Prec@1 71.875 (75.123)	Prec@5 96.875 (96.798)
Epoch: [6][60/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.5008 (3.7265)	Prec@1 77.344 (74.808)	Prec@5 98.438 (96.773)
Epoch: [6][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.3679 (3.7332)	Prec@1 69.531 (74.648)	Prec@5 94.531 (96.875)
