Epoch: [0][0/97], lr: 0.00200	Time 2.726 (2.726)	Data 0.118 (0.118)	Loss 17.9242 (17.9242)	Prec@1 9.375 (9.375)	Prec@5 28.125 (28.125)
Epoch: [0][10/97], lr: 0.00200	Time 0.156 (0.381)	Data 0.000 (0.011)	Loss 8.9259 (10.8993)	Prec@1 46.094 (38.139)	Prec@5 82.812 (78.906)
Epoch: [0][20/97], lr: 0.00200	Time 0.157 (0.274)	Data 0.000 (0.010)	Loss 6.9671 (9.4892)	Prec@1 53.906 (44.271)	Prec@5 85.156 (81.734)
Epoch: [0][30/97], lr: 0.00200	Time 0.156 (0.236)	Data 0.000 (0.010)	Loss 6.2950 (8.5702)	Prec@1 51.562 (46.245)	Prec@5 89.062 (83.972)
Epoch: [0][40/97], lr: 0.00200	Time 0.156 (0.217)	Data 0.000 (0.010)	Loss 5.0921 (7.8691)	Prec@1 62.500 (49.085)	Prec@5 92.969 (85.957)
Epoch: [0][50/97], lr: 0.00200	Time 0.157 (0.205)	Data 0.000 (0.010)	Loss 5.5064 (7.4805)	Prec@1 62.500 (50.521)	Prec@5 89.062 (87.056)
Epoch: [0][60/97], lr: 0.00200	Time 0.158 (0.197)	Data 0.000 (0.010)	Loss 5.8167 (7.1797)	Prec@1 52.344 (51.780)	Prec@5 94.531 (88.038)
Epoch: [0][70/97], lr: 0.00200	Time 0.159 (0.191)	Data 0.000 (0.010)	Loss 5.6747 (6.9308)	Prec@1 56.250 (52.696)	Prec@5 90.625 (88.622)
Epoch: [0][80/97], lr: 0.00200	Time 0.158 (0.187)	Data 0.000 (0.010)	Loss 6.7019 (6.7521)	Prec@1 50.000 (53.337)	Prec@5 87.500 (89.169)
Epoch: [0][90/97], lr: 0.00200	Time 0.157 (0.184)	Data 0.000 (0.010)	Loss 5.4093 (6.5837)	Prec@1 61.719 (54.112)	Prec@5 88.281 (89.663)
Epoch: [1][0/97], lr: 0.00400	Time 0.149 (0.149)	Data 0.089 (0.089)	Loss 4.7450 (4.7450)	Prec@1 61.719 (61.719)	Prec@5 96.094 (96.094)
Epoch: [1][10/97], lr: 0.00400	Time 0.160 (0.157)	Data 0.000 (0.017)	Loss 6.1539 (5.3195)	Prec@1 52.344 (59.801)	Prec@5 95.312 (93.679)
Epoch: [1][20/97], lr: 0.00400	Time 0.158 (0.157)	Data 0.000 (0.014)	Loss 4.1872 (5.2573)	Prec@1 65.625 (60.565)	Prec@5 96.875 (94.122)
