Epoch: [0][0/97], lr: 0.00200	Time 2.146 (2.146)	Data 0.118 (0.118)	Loss 3.6093 (3.6093)	Prec@1 29.688 (29.688)	Prec@5 55.469 (55.469)
Epoch: [0][10/97], lr: 0.00200	Time 0.139 (0.314)	Data 0.000 (0.011)	Loss 1.5988 (2.2821)	Prec@1 47.656 (21.804)	Prec@5 68.750 (53.480)
Epoch: [0][20/97], lr: 0.00200	Time 0.138 (0.231)	Data 0.001 (0.010)	Loss 1.8016 (1.9286)	Prec@1 38.281 (29.353)	Prec@5 80.469 (63.244)
Epoch: [0][30/97], lr: 0.00200	Time 0.138 (0.201)	Data 0.003 (0.010)	Loss 1.1664 (1.7525)	Prec@1 35.938 (33.014)	Prec@5 86.719 (68.901)
Epoch: [0][40/97], lr: 0.00200	Time 0.139 (0.186)	Data 0.000 (0.009)	Loss 1.2742 (1.6310)	Prec@1 38.281 (33.803)	Prec@5 75.781 (71.570)
Epoch: [0][50/97], lr: 0.00200	Time 0.140 (0.177)	Data 0.010 (0.009)	Loss 1.3962 (1.5580)	Prec@1 48.438 (34.544)	Prec@5 87.500 (73.882)
Epoch: [0][60/97], lr: 0.00200	Time 0.140 (0.171)	Data 0.000 (0.009)	Loss 0.9247 (1.4917)	Prec@1 39.062 (34.951)	Prec@5 82.812 (75.615)
Epoch: [0][70/97], lr: 0.00200	Time 0.135 (0.167)	Data 0.000 (0.009)	Loss 1.2034 (1.4402)	Prec@1 48.438 (35.739)	Prec@5 86.719 (76.827)
Epoch: [0][80/97], lr: 0.00200	Time 0.139 (0.163)	Data 0.000 (0.009)	Loss 1.2473 (1.4047)	Prec@1 29.688 (36.439)	Prec@5 82.812 (77.749)
Epoch: [0][90/97], lr: 0.00200	Time 0.139 (0.161)	Data 0.000 (0.009)	Loss 1.1102 (1.3736)	Prec@1 56.250 (37.740)	Prec@5 92.188 (78.846)
Epoch: [1][0/97], lr: 0.00400	Time 0.145 (0.145)	Data 0.091 (0.091)	Loss 1.1899 (1.1899)	Prec@1 40.625 (40.625)	Prec@5 81.250 (81.250)
Epoch: [1][10/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.016)	Loss 1.1176 (1.1458)	Prec@1 50.000 (35.227)	Prec@5 93.750 (85.298)
Epoch: [1][20/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 0.8576 (1.1230)	Prec@1 46.875 (39.397)	Prec@5 85.156 (84.896)
Epoch: [1][30/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.001 (0.011)	Loss 0.9985 (1.1236)	Prec@1 55.469 (40.801)	Prec@5 93.750 (85.408)
Epoch: [1][40/97], lr: 0.00400	Time 0.141 (0.140)	Data 0.000 (0.011)	Loss 1.0239 (1.1314)	Prec@1 40.625 (42.245)	Prec@5 82.031 (85.575)
Epoch: [1][50/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.3701 (1.1213)	Prec@1 35.156 (42.785)	Prec@5 82.812 (85.478)
