Epoch: [0][0/97], lr: 0.00200	Time 2.161 (2.161)	Data 0.151 (0.151)	Loss 2.4231 (2.4231)	Prec@1 7.031 (7.031)	Prec@5 60.938 (60.938)
Epoch: [0][10/97], lr: 0.00200	Time 0.139 (0.316)	Data 0.000 (0.014)	Loss 1.7090 (1.8827)	Prec@1 39.062 (24.503)	Prec@5 78.125 (66.903)
Epoch: [0][20/97], lr: 0.00200	Time 0.131 (0.232)	Data 0.000 (0.011)	Loss 1.1415 (1.6282)	Prec@1 36.719 (29.576)	Prec@5 76.562 (71.094)
Epoch: [0][30/97], lr: 0.00200	Time 0.139 (0.202)	Data 0.000 (0.011)	Loss 1.5087 (1.5294)	Prec@1 37.500 (31.804)	Prec@5 70.312 (72.959)
Epoch: [0][40/97], lr: 0.00200	Time 0.139 (0.187)	Data 0.000 (0.010)	Loss 1.3508 (1.4724)	Prec@1 43.750 (33.689)	Prec@5 91.406 (74.829)
Epoch: [0][50/97], lr: 0.00200	Time 0.140 (0.178)	Data 0.000 (0.010)	Loss 1.1873 (1.4315)	Prec@1 43.750 (36.305)	Prec@5 80.469 (76.716)
Epoch: [0][60/97], lr: 0.00200	Time 0.140 (0.171)	Data 0.000 (0.010)	Loss 1.2962 (1.3908)	Prec@1 45.312 (36.142)	Prec@5 78.125 (77.664)
Epoch: [0][70/97], lr: 0.00200	Time 0.139 (0.167)	Data 0.000 (0.010)	Loss 1.5758 (1.3596)	Prec@1 39.062 (36.455)	Prec@5 84.375 (78.334)
Epoch: [0][80/97], lr: 0.00200	Time 0.139 (0.164)	Data 0.001 (0.009)	Loss 0.9635 (1.3307)	Prec@1 57.031 (37.249)	Prec@5 89.062 (79.205)
Epoch: [0][90/97], lr: 0.00200	Time 0.139 (0.161)	Data 0.000 (0.009)	Loss 1.0536 (1.3060)	Prec@1 46.094 (37.946)	Prec@5 91.406 (79.679)
Epoch: [1][0/97], lr: 0.00400	Time 0.145 (0.145)	Data 0.091 (0.091)	Loss 1.0298 (1.0298)	Prec@1 34.375 (34.375)	Prec@5 85.156 (85.156)
Epoch: [1][10/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.016)	Loss 1.3135 (1.2847)	Prec@1 39.062 (32.812)	Prec@5 81.250 (81.392)
Epoch: [1][20/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.013)	Loss 1.4179 (1.2756)	Prec@1 32.812 (40.960)	Prec@5 75.000 (82.589)
Epoch: [1][30/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 1.7950 (1.3168)	Prec@1 45.312 (39.415)	Prec@5 85.156 (80.998)
Epoch: [1][40/97], lr: 0.00400	Time 0.141 (0.140)	Data 0.001 (0.011)	Loss 1.1432 (1.3398)	Prec@1 50.000 (39.272)	Prec@5 91.406 (81.707)
Epoch: [1][50/97], lr: 0.00400	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.2332 (1.3270)	Prec@1 42.969 (39.001)	Prec@5 83.594 (81.786)
Epoch: [1][60/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.1269 (1.2900)	Prec@1 63.281 (40.753)	Prec@5 91.406 (82.095)
Epoch: [1][70/97], lr: 0.00400	Time 0.138 (0.140)	Data 0.000 (0.010)	Loss 1.0400 (1.2566)	Prec@1 61.719 (41.747)	Prec@5 95.312 (82.989)
Epoch: [1][80/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 0.9448 (1.2265)	Prec@1 57.031 (42.265)	Prec@5 90.625 (83.565)
Epoch: [1][90/97], lr: 0.00400	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.2085 (1.2091)	Prec@1 48.438 (42.582)	Prec@5 89.844 (84.032)
Epoch: [2][0/97], lr: 0.00600	Time 0.145 (0.145)	Data 0.091 (0.091)	Loss 0.8989 (0.8989)	Prec@1 23.438 (23.438)	Prec@5 84.375 (84.375)
Epoch: [2][10/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.016)	Loss 1.0049 (0.9960)	Prec@1 35.938 (41.974)	Prec@5 78.906 (86.151)
Epoch: [2][20/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.013)	Loss 1.2572 (1.0323)	Prec@1 42.969 (46.019)	Prec@5 88.281 (86.942)
Epoch: [2][30/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 1.0831 (1.0177)	Prec@1 48.438 (44.204)	Prec@5 87.500 (87.878)
Epoch: [2][40/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 0.8622 (1.0211)	Prec@1 60.156 (44.264)	Prec@5 89.062 (87.424)
Epoch: [2][50/97], lr: 0.00600	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 0.8819 (1.0222)	Prec@1 60.156 (46.645)	Prec@5 89.062 (87.531)
Epoch: [2][60/97], lr: 0.00600	Time 0.128 (0.140)	Data 0.000 (0.010)	Loss 0.9740 (1.0107)	Prec@1 57.812 (45.069)	Prec@5 86.719 (87.692)
Epoch: [2][70/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 0.9380 (1.0112)	Prec@1 39.844 (45.202)	Prec@5 88.281 (87.984)
Epoch: [2][80/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 1.1219 (1.0101)	Prec@1 39.062 (45.467)	Prec@5 82.031 (87.915)
Epoch: [2][90/97], lr: 0.00600	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 0.9555 (1.0005)	Prec@1 60.156 (46.197)	Prec@5 90.625 (88.187)
Epoch: [3][0/97], lr: 0.00800	Time 0.166 (0.166)	Data 0.111 (0.111)	Loss 0.9306 (0.9306)	Prec@1 50.781 (50.781)	Prec@5 90.625 (90.625)
Epoch: [3][10/97], lr: 0.00800	Time 0.139 (0.142)	Data 0.000 (0.018)	Loss 0.7314 (0.9659)	Prec@1 49.219 (37.926)	Prec@5 88.281 (86.435)
Epoch: [3][20/97], lr: 0.00800	Time 0.140 (0.141)	Data 0.000 (0.014)	Loss 0.9930 (0.9784)	Prec@1 38.281 (41.109)	Prec@5 89.062 (88.170)
Epoch: [3][30/97], lr: 0.00800	Time 0.140 (0.141)	Data 0.000 (0.012)	Loss 0.9558 (0.9574)	Prec@1 53.906 (44.682)	Prec@5 93.750 (89.264)
Epoch: [3][40/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 1.1395 (0.9661)	Prec@1 53.125 (47.027)	Prec@5 91.406 (89.101)
Epoch: [3][50/97], lr: 0.00800	Time 0.138 (0.140)	Data 0.008 (0.011)	Loss 0.9329 (0.9734)	Prec@1 55.469 (46.339)	Prec@5 88.281 (88.450)
Epoch: [3][60/97], lr: 0.00800	Time 0.138 (0.140)	Data 0.000 (0.011)	Loss 0.9832 (0.9520)	Prec@1 56.250 (46.939)	Prec@5 91.406 (88.589)
Epoch: [3][70/97], lr: 0.00800	Time 0.138 (0.140)	Data 0.000 (0.010)	Loss 0.9086 (0.9483)	Prec@1 55.469 (48.955)	Prec@5 84.375 (88.754)
Epoch: [3][80/97], lr: 0.00800	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 0.7623 (0.9454)	Prec@1 35.938 (48.601)	Prec@5 91.406 (88.725)
Epoch: [3][90/97], lr: 0.00800	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 0.7850 (0.9376)	Prec@1 52.344 (49.236)	Prec@5 90.625 (88.891)
Epoch: [4][0/97], lr: 0.01000	Time 0.147 (0.147)	Data 0.093 (0.093)	Loss 0.8254 (0.8254)	Prec@1 60.156 (60.156)	Prec@5 85.938 (85.938)
